油管-CCTV纪录片_3,#genre#
“鲲龙”AG600试飞背后的故事：看三代中国航空人研制“飞起来的船”！《中国建设者》EP12【CCTV纪录】,https://www.youtube.com/watch?v=CQOrOarm8QU
AG600完成总装下线！中国从此也拥有了属于自己的大型水上飞机！《中国建设者》EP12【CCTV纪录】,https://www.youtube.com/watch?v=kV6tNAjWNhA
无惧严寒 “玛利亚”盾构机勇敢始发！中国铁建打造中俄文化融合新名片 《中国建设者》EP13【CCTV纪录】,https://www.youtube.com/watch?v=1VinbeSiDa8
超硬核！莫斯科首个中国风地铁站即将建成 在俄罗斯点亮中国红！《中国建设者》EP13【CCTV纪录】,https://www.youtube.com/watch?v=vP2QNTkwqVo
“世界最美地铁”莫斯科地铁站到底有多奢华？你知道哪站是“中国制造”吗？《中国建设者》EP13【CCTV纪录】,https://www.youtube.com/watch?v=X5s3f_o3POk
被严重低估的火箭装备：“快舟”火箭！像导弹一样 随时随地快速发射！《中国建设者》EP14【CCTV纪录】,https://www.youtube.com/watch?v=AGFi6VPo4_w
太空“快递”实验惨败 “归零” 排查寻找爆炸原因《中国建设者》EP14【CCTV纪录】,https://www.youtube.com/watch?v=kDpy7eGqIP0
摆脱体型超大的航天发射台 采用起竖发射架 “快舟”火箭做好了模拟大考的准备！《中国建设者》EP14【CCTV纪录】,https://www.youtube.com/watch?v=kUrsAGddr7M
新成昆铁路复线建设传喜讯！万吨转体连续梁成功合龙！《中国建设者》EP15【CCTV纪录】,https://www.youtube.com/watch?v=FeekwvRCpGw
来见识举世闻名的成昆铁路！它被誉为“二十世纪人类征服自然的三大奇迹”！《中国建设者》EP15【CCTV纪录】,https://www.youtube.com/watch?v=dMeEsPXi3c0
西南地形极其复杂 新成昆铁路建设困难重重 看大国建设者们如何征服“世纪工程”！《中国建设者》EP15【CCTV纪录】,https://www.youtube.com/watch?v=52rssQ2bZXw
中国清洁能源建设者的巨大挑战：巨型风车吊装如何面对突变风速？《中国建设者》EP16【CCTV纪录 】,https://www.youtube.com/watch?v=ccWb3UXrf2k
每年可向北京地区输送225亿千瓦时清洁能源！这张绿色电网将见证中国由化石能源向清洁能源的转型 《中国建设者》EP16【CCTV纪录】,https://www.youtube.com/watch?v=Qb2aU_p9UvQ
奥运历史首次：2022冬奥会的每度电皆来自清洁能源！《中国建设者》EP16【CCTV纪录】,https://www.youtube.com/watch?v=mFqhRifUMhI
长江现代保卫战：实现“清水绿岸 鱼翔浅底” 共同修复长江生态环境 《中国建设者》EP17【CCTV纪录】,https://www.youtube.com/watch?v=Cq2N1CKMR8M
如何避免“水中大熊猫”中华鲟种群出现灭绝风险？这个解决方案充满想象力！《中国建设者》EP17【CCTV纪录】,https://www.youtube.com/watch?v=Kkb0UXYx4mU
长江珍稀植物研究所：数十种珍稀植物将回归野外！《中国建设者》EP17【CCTV纪录】,https://www.youtube.com/watch?v=77G4BJ6ugl8
又一项世界奇迹！看大国工匠如何凌空架起跨度千米的大桥！《中国建设者》EP18【CCTV纪录】,https://www.youtube.com/watch?v=xN5HOWRO2wk
一步跨千年：一条公路改变民族命运 云南怒江独龙族实现整族脱贫！《中国建设者》EP18【CCTV纪录】,https://www.youtube.com/watch?v=lUZcofnjaiE
强！国家冬奥工程师造出中国首条雪车雪橇赛道！《中国建设者》EP19【CCTV纪录】,https://www.youtube.com/watch?v=m6muaWvm750
近乎千里挑一的严酷选拔赛： 挑选出中国未来的冰雪赛道喷射手 助力北京冬奥建设！《中国建设者》EP19【CCTV纪录】,https://www.youtube.com/watch?v=eePrY-wVWwU
纵贯中国经济最发达地区 沪通大桥是否能成功横跨长江 将天堑变通途？《中国建设者》EP21【CCTV纪录】,https://www.youtube.com/watch?v=SltjFI9thm4
大桥偏差不能超过2毫米！体积等同2艘万吨巨轮的桥面能否以毫米级别精确推进 在长江上顺利合龙？《中国建设者》EP21【CCTV纪录】,https://www.youtube.com/watch?v=6e2ol5U3VmE
重大进展！深中通道人工岛主体结构完工！它标志着国内首个高速公路水下互通立交主体正式成形《中国建设者》EP20【CCTV纪录】,https://www.youtube.com/watch?v=CDpn-NuZ0tc
刷新世界纪录！中山到深圳仅需30分钟 “超级工程”深中通道将为粤港澳大湾区发展注入巨大活力！《中国建设者》EP20【CCTV纪录】,https://www.youtube.com/watch?v=pc0jY4RSHQY
创造桥梁建设的世界新纪录！沪通长江大桥合龙 南北接线开通！《中国建设者》EP21【CCTV纪录】,https://www.youtube.com/watch?v=4CA2phAvfOQ
一波未平一波又起！登革热爆发打乱施工节奏 马尔代夫跨海大桥建设能否如期推进？《中国建设者》EP22【CCTV纪录】,https://www.youtube.com/watch?v=wQmHHf0sOdQ
中马友谊大桥：中国助力马尔代夫实现“桥梁梦”！中国建设者在“恶魔之海”挑战深蓝！《中国建设者》EP22【CCTV纪录】,https://www.youtube.com/watch?v=BCoNIWq4Mrc
突破技术障碍 造出可180度转向的轮胎！让用户对中国制造特种车辆充满信心！《中国建设者》EP23【CCTV纪录】,https://www.youtube.com/watch?v=HQEaqK_rebI
“硬汉”闪亮登场！重型越野运输车首露真容 越野性能爆表！《中国建设者》EP23【 CCTV纪录】,https://www.youtube.com/watch?v=qB6GizvTONs
打破多项世界纪录！1千万工时 焊接近54万公里  神器“蓝鲸1号”试航成功！《中国建设者》EP24【CCTV纪录】,https://www.youtube.com/watch?v=2vDD9GwouJg
神秘的罗布泊：从“死亡之海”驶出的“钾肥航母” 它是如何让中国人吃饱饭的？《中国建设者》EP25【CCTV纪录】,https://www.youtube.com/watch?v=9NKAB7DTqUQ
在采盐过程中占据重要位置！“水上坦克” 见证中国人自主设计水采机的奇迹！《中国建设者》EP25【CCTV纪录】,https://www.youtube.com/watch?v=RD9sQbcjR5s
30分钟实现火箭发射！挑战车辆运输火箭极限 携火箭跨越山海！ 《中国建设者》EP23【CCTV纪录】,https://www.youtube.com/watch?v=4Zb0n1MiTYE
总重达18750吨！“海上巨无霸”上下船体开始精准对接 合龙风险极高 过程惊心动魄！《中国建设者》EP24【CCTV纪录】,https://www.youtube.com/watch?v=VTZVrc2mdlQ
建设者命悬一线！海底隧道施工区域海底漏气 危机是否还会再次升级？《中国建设者》EP26【CCTV纪录】,https://www.youtube.com/watch?v=DNVWU-ilYb4
