直播_斯玛特,#genre#
Discovery Asia,http://127.0.0.1:8084/smt.php?play=2&id=discoverytwn_twn
CI,http://127.0.0.1:8084/smt.php?play=2&id=ci_twn
Discovery HD,http://127.0.0.1:8084/smt.php?play=2&id=discoveryhd_twn
NatGeo HD,http://127.0.0.1:8084/smt.php?play=2&id=Natgeo
Fashion TV,http://127.0.0.1:8084/smt.php?play=2&id=fashiontv_twn
History,http://127.0.0.1:8084/smt.php?play=2&id=History
BBC Earth HD,http://127.0.0.1:8084/smt.php?play=2&id=bbcearth_twn
BBC Earth Lifestyle,http://127.0.0.1:8084/smt.php?play=2&id=bbclifestyle_twn
NatGeo Wild HD,http://127.0.0.1:8084/smt.php?play=2&id=Natgeowild
Animal Planet (Eng),http://127.0.0.1:8084/smt.php?play=2&id=AnimalPlanet
TLC,http://127.0.0.1:8084/smt.php?play=2&id=Tlc
Foodnetwork Hd,http://127.0.0.1:8084/smt.php?play=2&id=Foodnetwork
HGTV,http://127.0.0.1:8084/smt.php?play=2&id=HGTV
Skynews,http://127.0.0.1:8084/smt.php?play=2&id=skynews_twn
ABC News,http://127.0.0.1:8084/smt.php?play=2&id=abcnews_glo
CBS HD,http://127.0.0.1:8084/smt.php?play=2&id=cbshd_glo
CBSN HD,http://127.0.0.1:8084/smt.php?play=2&id=cbsn_glo
France 24,http://127.0.0.1:8084/smt.php?play=2&id=france24_twn
DW (Deutsch),http://127.0.0.1:8084/smt.php?play=2&id=dw_twn
NHK World,http://127.0.0.1:8084/smt.php?play=2&id=nhkworld_japan
Fox News,http://127.0.0.1:8084/smt.php?play=2&id=foxnews_twn
CNN International,http://127.0.0.1:8084/smt.php?play=2&id=Cnn
CNN backup,http://127.0.0.1:8084/smt.php?play=2&id=cnn_twn
CNBC,http://127.0.0.1:8084/smt.php?play=2&id=cnbc_twn
CNA,http://127.0.0.1:8084/smt.php?play=2&id=cna
BBC World News,http://127.0.0.1:8084/smt.php?play=2&id=bbcnews_twn
BBC World News,http://127.0.0.1:8084/smt.php?play=2&id=Bbcnews
Bloomberg News,http://127.0.0.1:8084/smt.php?play=2&id=bloomberg_twn
Al-Jazeera,http://127.0.0.1:8084/smt.php?play=2&id=aljazeera_twn
Baby TV Eng,http://127.0.0.1:8084/smt.php?play=2&id=Babytv
CBeebies,http://127.0.0.1:8084/smt.php?play=2&id=Cbeebies
Kids TV,http://127.0.0.1:8084/smt.php?play=2&id=KidsTV
Momo TV,http://127.0.0.1:8084/smt.php?play=2&id=momo1_twn
Baby TV,http://127.0.0.1:8084/smt.php?play=2&id=babytv_twn
MiaoMi,http://127.0.0.1:8084/smt.php?play=2&id=MiaoMi
Cartoon Network,http://127.0.0.1:8084/smt.php?play=2&id=Cn
Nickelodeon,http://127.0.0.1:8084/smt.php?play=2&id=Nickelodeon
Nick Jr,http://127.0.0.1:8084/smt.php?play=2&id=Nickjr
Channel 5,http://127.0.0.1:8084/smt.php?play=2&id=Channel5HD
Channel 8,http://127.0.0.1:8084/smt.php?play=2&id=Channel8HD
Suria,http://127.0.0.1:8084/smt.php?play=2&id=Suria
Channel U,http://127.0.0.1:8084/smt.php?play=2&id=ChannelU
Vasantham,http://127.0.0.1:8084/smt.php?play=2&id=Vasantham
CNA backup,http://127.0.0.1:8084/smt.php?play=2&id=cna_twn
MeWatch Ch 5,http://127.0.0.1:8084/smt.php?play=2&id=Mewatch_ch5
